제목,저자,출판사,출판일,판매가,정가,판매지수,리뷰수,평점,판매가_num,정가_num,판매지수_num,출판월,할인율
"된다! 하루 만에 끝내는 제미나이 활용법 보고서, 이미지 생성 등 70가지 예제 수록! 노트북LM, 구글 AI 스튜디오, 나노 바나나를 한 권에!",권서림저,이지스퍼블리싱,2025년 11월,"18,000원","20,000원","107,370",51,9.8,18000,20000,107370,2025-11,10.0
"이게 되네? 제미나이 노트북LM 미친 활용법 51제 진짜 실무에서 쓰는 인공지능 활용법! 할 일, 조직 관리, 협업, AI 메모, AI 회의, 챗봇, AI 앱 만들기, 이미지 생성, 영상 제작까지 일잘러 오대리의 AI 업무 자동화",오힘찬저,골든래빗,2025년 07월,"21,600원","24,000원","59,685",32,9.6,21600,24000,59685,2025-07,10.0
된다! 하루 만에 끝내는 챗GPT 활용법 인공지능에게 일 시키고 시간 버는 법,프롬프트 크리에이터저,이지스퍼블리싱,2025년 06월,"18,000원","20,000원","39,249",90,9.5,18000,20000,39249,2025-06,10.0
구글 시트로 스마트한 학교 만들기 : 교사를 위한 스프레드시트 활용 가이드 실전기초/행정업무/일정관리/담임업무/학급운영/교수평기,"지미정,장성진,유병선저",앤써북,2025년 04월,"21,960원","24,400원","28,677",15,9.9,21960,24400,28677,2025-04,10.0
"된다! 하루 만에 준비하는 AI 학교 수업 활용법 with 챗GPT, 캔바, 미리캔버스, 구글 기반 AI","정인걸,김경수저",이지스퍼블리싱,2025년 03월,"17,820원","19,800원","30,990",39,10.0,17820,19800,30990,2025-03,10.0
"바로 배워서 바로 써먹는 바이브 코딩 캔바, 구글 앱스크립트, 파이어베이스, 러버블까지, 웹 앱 개발 도구를 활용한 AI 융합 교육 가이드","박찬,김병석,전수연,김지용,구현희저 외 3명정보 더 보기/감추기박찬김병석전수연김지용구현희전채원홍찬우이상선",다빈치books,2025년 09월,"19,800원","22,000원","25,125",43,10.0,19800,22000,25125,2025-09,10.0
"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이 수업준비, 학급경영, 행정업무, 상담, 연수준비, 개인업무, 교사협업, 바이브코딩 어떻게 활용했고, 어떻게 활용할 수 있는지!","안익재,황의태저",앤써북,2025년 12월,"17,820원","19,800원","8,778",55,10.0,17820,19800,8778,2025-12,10.0
"요즘 바이브 코딩 커서 AI 30가지 프로그램 만들기 인공지능 코딩, 랜딩 페이지, 바탕화면 정리 앱, PDF 편집기, 이메일 자동화, 주식 크롤링, QR 코드 생성기, GPT 블로그 생성기",박현규저,골든래빗,2025년 09월,"21,600원","24,000원","19,845",83,10.0,21600,24000,19845,2025-09,10.0
"일 잘하는 사람은 이렇게 챗GPT를 씁니다 일잘러 장피엠의 AI 실무, 자동화, 노코드, GPTs, Make 활용 강의",장피엠(장병준)저,한빛미디어,2025년 12월,"21,600원","24,000원","10,770",9,10.0,21600,24000,10770,2025-12,10.0
혼자 공부하는 바이브 코딩 with 클로드 코드 AI와 1:1 대화하며 배우는 첫 코딩 자습서,조태호저,한빛미디어,2025년 12월,"27,000원","30,000원","9,126",120,10.0,27000,30000,9126,2025-12,10.0
챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함 97가지 활용 사례로 배우는 최강 AI 5대장 완전정복,이호정저,리코멘드,2025년 11월,"25,200원","28,000원","11,187",4,10.0,25200,28000,11187,2025-11,10.0
"요즘 당근 AI 개발 AI가 만든 파도 위에서 과감히 서핑하는 법. AI 에이전트, 프롬프트 엔지니어링, VoC 자동 분석, 운영자동화, 바이브 코딩 AI 검색과 추천까지 당근의 AI 활용 이야기",당근 팀저,골든래빗,2025년 10월,"19,800원","22,000원","17,340",85,10.0,19800,22000,17340,2025-10,10.0
2026 AI 교육 트렌드 7인의 교육 전문가가 전하는 생생한 현장 인사이트 리포트,"박소이,유영걸,오유나,김영준,김정환저 외 2명정보 더 보기/감추기박소이유영걸오유나김영준김정환정나래한창훈",길벗,2025년 12월,"22,500원","25,000원","11,157",21,10.0,22500,25000,11157,2025-12,10.0
교사를 위한 패들렛 Padlet 기초부터 심화까지/학생참여형수업/샌드박스/패들렛AI/템플릿 및 기능별 수업 활용 사례,안익재저,앤써북,2025년 03월,"15,120원","16,800원","22,200",47,10.0,15120,16800,22200,2025-03,10.0
AI 팀원이 다 해줌 챗GPT·퍼플렉시티·코파일럿·캔바·감마·브루 전원 투입!,이나현저,한빛미디어,2025년 12월,"20,700원","23,000원","9,087",124,9.9,20700,23000,9087,2025-12,10.0
선생님을 위한 노션 실전기초/수업활용/학생관리/업무관리/업무자동화/노션AI,임세범저,앤써북,2025년 01월,"19,620원","21,800원","20,985",16,9.9,19620,21800,20985,2025-01,10.0
"이게 되네? 챗GPT 미친 활용법 71제 7배 더 빠르게, 7배 나은 퀄리티로 진짜 현업에 사용해온 일잘러 오대리의 ‘71가지 미친 업무 자동화’ with o3, 소라, 딥리서치, 프로젝트, 고급 음성모드, GPTs",오힘찬저,골든래빗,2025년 01월,"21,600원","24,000원","55,932",254,9.6,21600,24000,55932,2025-01,10.0
Do it! LLM을 활용한 AI 에이전트 개발 입문 GPT API+딥시크+라마+랭체인+랭그래프+RAG,이성용저,이지스퍼블리싱,2025년 05월,"31,500원","35,000원","19,842",16,9.9,31500,35000,19842,2025-05,10.0
"일 잘하는 엔지니어의 생각 기법 시스템 성능 개선과 최적화, 문제 해결의 속도를 높이는 사고의 기술",캐리 밀샙저/장현희역,책만,2025년 11월,"22,500원","25,000원","7,614",11,9.6,22500,25000,7614,2025-11,10.0
학교 업무가 쉬워지는 구글 스프레드시트 실전 가이드북 “칼퇴하는 옆반 선생님의 비밀!”,"김동호,민동수,박준택,오보람,윤수진저 외 1명정보 더 보기/감추기김동호민동수박준택오보람윤수진나혜진",씨마스21,2026년 01월,"19,800원","22,000원","10,089",28,10.0,19800,22000,10089,2026-01,10.0
요즘 바이브 코딩 제미나이 CLI 완벽 가이드,김진환저,골든래빗,2025년 12월,"23,400원","26,000원","7,083",79,10.0,23400,26000,7083,2025-12,10.0
